State	year
NC	1997
MA	2002
OH	2003
NC	2004
AZ	2004
TX	2005
TX	2005
NY	2006
MA	2007
MN	2008
PR	2008
OH	2008
MN	2008
PR	2008
FL	2008
MN	2008
NC	2008
TX	2008
MN	2008
PA	2008
KY	2008
IA	2008
DC	2009
CA	2009
MO	2009
CA	2009
FL	2009
MI	2009
AZ	2009
CA	2009
NC	2009
CA	2009
MA	2009
CA	2009
TX	2009
TN	2009
DC	2009
TX	2009
FL	2009
AK	2009
NV	2009
TX	2009
CA	2009
CA	2009
CA	2009
WY	2009
NY	2009
FL	2009
CA	2009
RI	2009
NY	2009
MA	2009
DC	2009
UT	2009
IN	2009
NY	2009
PA	2009
IL	2009
MI	2009
CA	2009
CA	2009
TN	2009
TN	2009
CA	2009
TX	2009
NY	2009
MN	2009
IL	2009
MO	2009
CA	2009
CO	2009
NE	2009
RI	2009
NY	2009
TN	2009
CA	2009
MI	2009
TX	2009
PA	2010
PR	2010
SC	2010
NY	2010
TN	2010
MA	2010
KY	2010
FL	2010
NC	2010
FL	2010
NY	2010
NY	2010
FL	2010
MA	2010
OH	2010
TX	2010
MA	2010
NY	2010
TX	2010
WI	2010
CA	2010
CO	2010
MN	2010
NM	2010
CT	2010
OR	2010
TX	2010
TX	2010
TN	2010
KY	2010
AZ	2010
CT	2010
FL	2010
CA	2010
MN	2010
MO	2010
KY	2010
PR	2010
CA	2010
VA	2010
WV	2010
CO	2010
CT	2010
TX	2010
TN	2010
SC	2010
NM	2010
CA	2010
IL	2010
CA	2010
IL	2010
GA	2010
IL	2010
NY	2010
CT	2010
CO	2010
MI	2010
TX	2010
WI	2010
UT	2010
OH	2010
GA	2010
PR	2010
VA	2010
MD	2010
PA	2010
TX	2010
GA	2010
NV	2010
FL	2010
TX	2010
TX	2010
NY	2010
OH	2010
FL	2010
WI	2010
NY	2010
WA	2010
CA	2010
OH	2010
TX	2010
VA	2010
NM	2010
MA	2010
CA	2010
WA	2010
DC	2010
MI	2010
CT	2010
PA	2010
MN	2010
NV	2010
NJ	2010
TN	2010
CA	2010
IN	2010
CA	2010
MO	2010
MN	2010
OH	2010
MD	2010
CA	2010
MI	2010
WA	2010
KY	2010
NY	2010
AK	2010
IL	2010
MD	2010
IN	2010
TN	2010
NC	2010
NY	2010
NY	2010
NE	2010
NC	2010
TX	2010
NY	2010
KS	2010
TN	2010
OK	2010
PA	2010
PA	2010
MA	2010
WI	2010
KS	2010
MO	2010
IL	2010
SC	2010
OH	2010
NE	2010
MI	2010
TX	2010
IN	2010
NY	2010
NH	2010
PR	2010
PR	2010
OH	2010
ID	2010
CA	2010
IL	2010
LA	2010
MI	2010
NJ	2010
OR	2010
MD	2010
MO	2010
FL	2010
IL	2010
MS	2010
OK	2010
IN	2010
FL	2010
PA	2010
AL	2010
NY	2010
DC	2010
PR	2010
DC	2010
IN	2010
CA	2010
TN	2010
NM	2010
CA	2010
NY	2010
RI	2010
AZ	2010
CA	2010
AZ	2010
TX	2010
PA	2010
MI	2010
KY	2010
IL	2010
IL	2010
MA	2010
TX	2010
CT	2010
NY	2010
NJ	2010
CO	2010
AL	2010
TX	2010
IN	2010
WA	2010
VA	2010
PR	2010
CT	2010
NY	2010
CA	2010
FL	2010
AR	2010
SC	2010
OH	2010
IA	2010
TX	2010
CA	2010
WA	2010
NC	2010
FL	2010
KY	2010
TX	2010
OK	2010
MA	2010
WA	2010
MA	2010
TX	2010
SC	2011
MO	2011
OH	2011
FL	2011
GA	2011
MA	2011
FL	2011
AR	2011
FL	2011
MI	2011
TX	2011
NJ	2011
TN	2011
OR	2011
AR	2011
CA	2011
OK	2011
IL	2011
NY	2011
AZ	2011
KY	2011
VA	2011
MS	2011
CA	2011
NY	2011
IL	2011
NH	2011
FL	2011
AZ	2011
NY	2011
KY	2011
AK	2011
NE	2011
PA	2011
TX	2011
MA	2011
CA	2011
MN	2011
GA	2011
TN	2011
CA	2011
IN	2011
IL	2011
MO	2011
CT	2011
NC	2011
WA	2011
CA	2011
NE	2011
NM	2011
TX	2011
IL	2011
MD	2011
MI	2011
AL	2011
MI	2011
AZ	2011
FL	2011
LA	2011
WY	2011
NC	2011
KY	2011
AL	2011
PA	2011
IN	2011
TX	2011
NJ	2011
MT	2011
NJ	2011
CA	2011
OR	2011
KY	2011
PA	2011
MA	2011
IL	2011
IN	2011
NC	2011
WV	2011
CA	2011
NV	2011
WV	2011
CT	2011
MI	2011
NJ	2011
CA	2011
AZ	2011
IL	2011
NY	2011
VA	2011
NC	2011
FL	2011
WA	2011
MI	2011
GA	2011
OR	2011
PR	2011
WA	2011
ND	2011
CA	2011
PA	2011
MD	2011
MA	2011
NJ	2011
IN	2011
MN	2011
TX	2011
TX	2011
CA	2011
IL	2011
IL	2011
PR	2011
IN	2011
FL	2011
CA	2011
FL	2011
MA	2011
TX	2011
PR	2011
CA	2011
PA	2011
IN	2011
MA	2011
PR	2011
ND	2011
NH	2011
IL	2011
MN	2011
OK	2011
NJ	2011
PA	2011
TN	2011
DE	2011
TX	2011
NJ	2011
IN	2011
KY	2011
TX	2011
NY	2011
SC	2011
SC	2011
DE	2011
TX	2011
IL	2011
PA	2011
WV	2011
MN	2011
WI	2011
WA	2011
IL	2011
AZ	2011
IN	2011
CO	2011
PA	2011
WA	2011
NJ	2011
CA	2011
TX	2011
TX	2011
TN	2011
WA	2011
MD	2011
TN	2011
MN	2011
TX	2011
MI	2011
IL	2011
AZ	2011
CA	2011
NM	2011
FL	2011
IN	2011
CA	2011
NY	2011
WA	2011
IN	2011
NC	2011
MN	2011
PR	2011
DC	2011
FL	2011
LA	2011
IN	2011
NJ	2011
CA	2011
MA	2011
LA	2011
FL	2011
MO	2011
PR	2011
MO	2011
NE	2011
CA	2011
CA	2011
GA	2011
MO	2011
CA	2011
PA	2011
FL	2011
MN	2011
NY	2011
MI	2011
TN	2011
TN	2011
AZ	2011
WI	2011
OH	2011
FL	2011
IN	2011
CO	2011
TX	2011
DC	2011
NY	2011
TX	2011
AL	2011
MD	2011
VA	2011
KS	2011
WA	2011
PA	2011
OH	2011
OK	2011
FL	2011
MO	2011
GA	2011
OR	2011
MN	2011
AK	2011
MN	2011
NY	2011
KY	2011
IL	2011
CA	2011
MI	2012
FL	2012
CA	2012
MS	2012
FL	2012
KY	2012
IN	2012
MA	2012
TX	2012
LA	2012
TX	2012
AZ	2012
WV	2012
NC	2012
CT	2012
TX	2012
CA	2012
CA	2012
HI	2012
CA	2012
VA	2012
FL	2012
MD	2012
IN	2012
FL	2012
WA	2012
MA	2012
NY	2012
SD	2012
AZ	2012
WA	2012
TX	2012
CA	2012
PR	2012
CA	2012
WA	2012
NY	2012
OR	2012
PR	2012
MO	2012
CA	2012
GA	2012
CA	2012
AR	2012
KY	2012
TN	2012
OR	2012
VA	2012
CA	2012
IN	2012
CA	2012
IL	2012
MA	2012
AR	2012
CT	2012
GA	2012
GA	2012
PA	2012
SC	2012
CA	2012
CA	2012
KY	2012
KY	2012
IN	2012
TX	2012
IN	2012
WI	2012
PA	2012
PA	2012
TX	2012
GA	2012
NY	2012
MA	2012
NY	2012
WA	2012
PR	2012
GA	2012
MD	2012
FL	2012
UT	2012
TN	2012
GA	2012
OH	2012
MA	2012
TN	2012
KY	2012
MD	2012
MO	2012
CA	2012
FL	2012
FL	2012
LA	2012
FL	2012
IN	2012
MA	2012
CT	2012
MA	2012
PR	2012
CA	2012
NY	2012
NM	2012
TX	2012
PA	2012
MD	2012
MA	2012
CA	2012
FL	2012
VA	2012
IL	2012
CA	2012
IA	2012
RI	2012
KY	2012
TX	2012
KY	2012
IL	2012
GA	2012
PA	2012
OH	2012
FL	2012
MI	2012
IN	2012
FL	2012
NC	2012
CA	2012
NC	2012
IN	2012
MN	2012
NY	2012
CA	2012
MA	2012
FL	2012
CA	2012
TX	2012
NY	2012
TX	2012
DC	2012
KY	2012
TN	2012
IA	2012
CA	2012
CT	2012
FL	2012
IL	2012
MI	2012
TX	2012
KS	2012
FL	2012
OR	2012
NM	2012
NY	2012
VA	2012
PR	2012
RI	2012
CA	2012
CT	2012
IN	2012
IN	2012
NC	2012
NJ	2012
NM	2012
NE	2012
NV	2012
CA	2012
OR	2012
GA	2012
MO	2012
WI	2012
MI	2012
MO	2012
VA	2012
OH	2012
NY	2012
AR	2012
CA	2012
CA	2012
NY	2012
NJ	2012
AR	2012
AZ	2012
IL	2012
MA	2012
KY	2012
TX	2012
IN	2012
CA	2012
PR	2012
AZ	2012
AL	2012
TX	2012
AR	2012
IL	2012
RI	2012
TN	2012
TX	2012
MI	2012
NY	2012
PA	2012
PR	2012
LA	2012
AL	2012
MO	2012
IL	2012
FL	2012
FL	2012
MN	2012
OR	2012
MT	2012
TX	2012
CA	2012
WI	2012
CA	2012
GA	2012
FL	2012
FL	2012
NY	2012
IL	2012
MO	2012
TX	2012
NC	2012
WI	2012
CO	2012
GA	2012
NY	2012
AZ	2012
NY	2012
NY	2012
WA	2013
NM	2013
CA	2013
FL	2013
CA	2013
IN	2013
IN	2013
GA	2013
WA	2013
PR	2013
FL	2013
MS	2013
NC	2013
FL	2013
SC	2013
MA	2013
GA	2013
FL	2013
CO	2013
GA	2013
IL	2013
NC	2013
NC	2013
OR	2013
TN	2013
NE	2013
NY	2013
WI	2013
IL	2013
NC	2013
CA	2013
CA	2013
CA	2013
IL	2013
NY	2013
CO	2013
CA	2013
TX	2013
FL	2013
IL	2013
GA	2013
IL	2013
PR	2013
PA	2013
NJ	2013
UT	2013
GA	2013
FL	2013
TX	2013
TN	2013
IL	2013
VT	2013
RI	2013
MD	2013
CO	2013
WI	2013
GA	2013
UT	2013
OH	2013
IL	2013
WA	2013
IN	2013
NC	2013
GA	2013
WY	2013
CA	2013
CA	2013
MT	2013
NC	2013
OH	2013
TX	2013
TN	2013
AK	2013
UT	2013
NY	2013
TX	2013
TX	2013
MI	2013
MO	2013
NC	2013
OH	2013
OH	2013
CA	2013
UT	2013
AL	2013
SC	2013
IN	2013
CA	2013
FL	2013
OH	2013
NC	2013
IA	2013
PR	2013
NC	2013
CO	2013
IL	2013
NY	2013
IN	2013
NJ	2013
OH	2013
MO	2013
TX	2013
FL	2013
MO	2013
VA	2013
MD	2013
AZ	2013
CA	2013
AL	2013
KS	2013
NC	2013
WA	2013
GA	2013
OR	2013
MI	2013
MO	2013
MD	2013
OH	2013
OH	2013
TX	2013
WA	2013
NC	2013
TN	2013
ME	2013
IL	2013
TX	2013
NY	2013
CA	2013
FL	2013
OR	2013
PA	2013
CA	2013
FL	2013
PA	2013
CA	2013
DE	2013
TX	2013
AL	2013
IL	2013
TX	2013
NE	2013
IL	2013
VA	2013
CO	2013
TX	2013
ND	2013
TX	2013
CA	2013
PA	2013
TX	2013
CA	2013
PR	2013
NY	2013
CO	2013
TX	2013
WA	2013
OH	2013
WI	2013
MD	2013
MO	2013
CA	2013
PR	2013
AR	2013
FL	2013
GA	2013
CA	2013
CT	2013
IN	2013
PR	2013
TN	2013
NC	2013
OH	2013
IL	2013
PA	2013
MN	2013
SC	2013
NJ	2013
SC	2013
OR	2013
FL	2013
NC	2013
MO	2013
NY	2013
PA	2013
FL	2013
NC	2013
OH	2013
TN	2013
IN	2013
TX	2013
CA	2013
PA	2013
PA	2013
WI	2013
IN	2013
IL	2013
PR	2013
CO	2013
MA	2013
CA	2013
WY	2013
CA	2013
CA	2013
SC	2013
PR	2013
NY	2013
VA	2013
TN	2013
VA	2013
CA	2013
PA	2013
AL	2013
PA	2013
OH	2013
IL	2013
AL	2013
FL	2013
TN	2013
NY	2013
FL	2013
CO	2013
MT	2013
PA	2013
OH	2013
NY	2013
AZ	2013
VA	2013
OH	2013
IA	2013
TX	2013
FL	2013
CO	2013
IN	2013
PA	2013
TX	2013
TN	2013
CA	2013
KY	2013
PA	2013
GA	2013
AR	2013
AR	2013
OH	2013
AZ	2013
PR	2013
NJ	2013
GA	2013
FL	2013
CA	2013
CA	2013
UT	2013
NJ	2013
FL	2013
MO	2013
NY	2014
CA	2014
TX	2014
KY	2014
WA	2014
IL	2014
MD	2014
TX	2014
FL	2014
IA	2014
FL	2014
MA	2014
IL	2014
CA	2014
CA	2014
KS	2014
MI	2014
MI	2014
TX	2014
MI	2014
CA	2014
TX	2014
IL	2014
NY	2014
PA	2014
MS	2014
TX	2014
NH	2014
UT	2014
CA	2014
IN	2014
CT	2014
TX	2014
AZ	2014
VA	2014
IA	2014
TX	2014
ID	2014
CA	2014
NJ	2014
CO	2014
CA	2014
CA	2014
KY	2014
OH	2014
MD	2014
GA	2014
OH	2014
KY	2014
CA	2014
TX	2014
KS	2014
PA	2014
TX	2014
CT	2014
CA	2014
